[2026-06-16 22:09:27] BLOCKED | Rule: DDL_DETECTED | Query: CREATE TABLE test (id INT)
[2026-06-16 22:10:08] BLOCKED | Rule: DDL_DETECTED | Query: CREATE TABLE test (id INT)
[2026-06-16 22:10:08] BLOCKED | Rule: DDL_DETECTED | Query: DROP TABLE users
[2026-06-16 22:10:08] BLOCKED | Rule: DDL_DETECTED | Query: ALTER TABLE t ADD col INT
[2026-06-16 22:10:08] BLOCKED | Rule: DML_WRITE_DETECTED | Query: INSERT INTO t VALUES (1)
[2026-06-16 22:10:08] BLOCKED | Rule: DML_WRITE_DETECTED | Query: UPDATE t SET x=1
[2026-06-16 22:10:08] BLOCKED | Rule: DML_WRITE_DETECTED | Query: DELETE FROM t WHERE id=1
[2026-06-16 22:10:08] BLOCKED | Rule: DEEP_SUBQUERY | Query: SELECT * FROM t WHERE id IN (SELECT id FROM t2 WHERE x IN (SELECT x FROM t3 WHERE y IN (SELECT y FROM t4 WHERE z IN (SELECT z FROM t5))))
[2026-06-16 22:12:10] BLOCKED | Rule: EXPENSIVE_SCAN | Query: SELECT * FROM takes LIMIT 1000
[2026-06-16 22:12:21] BLOCKED | Rule: DDL_DETECTED | Query: CREATE TABLE test (id INT)
[2026-06-16 22:12:21] BLOCKED | Rule: DDL_DETECTED | Query: DROP TABLE users
[2026-06-16 22:12:21] BLOCKED | Rule: DDL_DETECTED | Query: ALTER TABLE t ADD col INT
[2026-06-16 22:12:21] BLOCKED | Rule: DML_WRITE_DETECTED | Query: INSERT INTO t VALUES (1)
[2026-06-16 22:12:21] BLOCKED | Rule: DML_WRITE_DETECTED | Query: UPDATE t SET x=1
[2026-06-16 22:12:21] BLOCKED | Rule: DML_WRITE_DETECTED | Query: DELETE FROM t WHERE id=1
[2026-06-16 22:12:21] BLOCKED | Rule: DEEP_SUBQUERY | Query: SELECT * FROM t WHERE id IN (SELECT id FROM t2 WHERE x IN (SELECT x FROM t3 WHERE y IN (SELECT y FROM t4 WHERE z IN (SELECT z FROM t5))))
[2026-06-16 22:12:21] BLOCKED | Rule: EXPENSIVE_SCAN | Query: SELECT * FROM student LIMIT 1000
[2026-06-16 22:34:02] BLOCKED | Rule: DDL_DETECTED | Query: DROP TABLE takes;
